code,name,dialCode,clean_text
AD,أندورا,+376,اندورا
AE,الامارات العربية المتحدة,+971,الامارات العربيه المتحده
AE,الامارات,+971,الامارات
AF,أفغانستان,+93,افغانستان
AG,أنتيجوا وبربودا,+1,انتيجوا وبربودا
AI,أنجويلا,+1,انجويلا
AL,ألبانيا,+355,البانيا
AM,أرمينيا,+374,ارمينيا
AO,أنجولا,+244,انجولا
AQ,القطب الجنوبي,+672,القطب الجنوبي
AR,الأرجنتين,+54,الارجنتين
AR,أرجنتين,+54,ارجنتين
AS,ساموا الأمريكية,+1,ساموا الامريكيه
AT,النمسا,+43,النمسا
AT,نمسا,+43,نمسا
AU,أستراليا,+61,استراليا
AW,آروبا,+297,اروبا
AX,جزر أولان,+358,جزر اولان
AZ,أذربيجان,+994,اذربيجان
BA,البوسنة والهرسك,+387,البوسنه والهرسك
BB,بربادوس,+1,بربادوس
BD,بنجلاديش,+880,بنجلاديش
BE,بلجيكا,+32,بلجيكا
BF,بوركينا فاسو,+226,بوركينا فاسو
BG,بلغاريا,+359,بلغاريا
BH,البحرين,+973,البحرين
BI,بوروندي,+257,بوروندي
BJ,بنين,+229,بنين
BL,سان بارتيلمي,+590,سان بارتيلمي
BM,برمودا,+1,برمودا
BN,بروناي,+673,بروناي
BO,بوليفيا,+591,بوليفيا
BQ,بونير,+599,بونير
BR,البرازيل,+55,البرازيل
BR,برازيل,+55,برازيل
BS,الباهاما,+1,الباهاما
BS,باهاما,+1,باهاما
BT,بوتان,+975,بوتان
BV,جزيرة بوفيه,+47,جزيره بوفيه
BW,بتسوانا,+267,بتسوانا
BY,روسيا البيضاء,+375,روسيا البيضاء
BZ,بليز,+501,بليز
CA,كندا,+1,كندا
CC,جزر كوكوس,+61,جزر كوكوس
CD,جمهورية الكونغو الديمقراطية,+243,جمهوريه الكونغو الديمقراطيه
CF,جمهورية افريقيا الوسطى,+236,جمهوريه افريقيا الوسطي
CG,الكونغو - برازافيل,+242,الكونغو برازافيل
CH,سويسرا,+41,سويسرا
CI,ساحل العاج,+225,ساحل العاج
CK,جزر كوك,+682,جزر كوك
CL,شيلي,+56,شيلي
CM,الكاميرون,+237,الكاميرون
CM,كاميرون,+237,كاميرون
CN,الصين,+86,الصين
CO,كولومبيا,+57,كولومبيا
CR,كوستاريكا,+506,كوستاريكا
CU,كوبا,+53,كوبا
CV,الرأس الأخضر,+238,الراس الاخضر
CW,كوراساو,+599,كوراساو
CX,جزيرة الكريسماس,+61,جزيره الكريسماس
CY,قبرص,+357,قبرص
CZ,جمهورية التشيك,+420,جمهوريه التشيك
CZ,التشيك,+420,التشيك
CZ,تشيك,+420,تشيك
DE,ألمانيا,+49,المانيا
DJ,جيبوتي,+253,جيبوتي
DK,الدانمرك,+45,الدانمرك
DK,الدانمارك,+45,الدانمارك
DK,دانمارك,+45,دانمارك
DM,دومينيكا,+1,دومينيكا
DO,جمهورية الدومينيك,+1,جمهوريه الدومينيك
DO,الدومينيك,+1,الدومينيك
DZ,الجزائر,+213,الجزاءر
DZ,جزائر,+213,جزاءر
EC,الاكوادور,+593,الاكوادور
EE,استونيا,+372,استونيا
EG,مصر,+20,مصر
EH,الصحراء الغربية,+212,الصحراء الغربيه
ER,اريتريا,+291,اريتريا
ES,أسبانيا,+34,اسبانيا
ET,اثيوبيا,+251,اثيوبيا
FI,فنلندا,+358,فنلندا
FJ,فيجي,+679,فيجي
FK,جزر فوكلاند,+500,جزر فوكلاند
FM,ميكرونيزيا,+691,ميكرونيزيا
FO,جزر فارو,+298,جزر فارو
FR,فرنسا,+33,فرنسا
GA,الجابون,+241,الجابون
GB,المملكة المتحدة,+44,الملكه المتحده
GB,انكلترا,+44,انكلترا
GD,جرينادا,+1,جرينادا
GE,جورجيا,+995,جورجيا
GF,غويانا,+594,غويانا
GG,غيرنزي,+44,غيرنزي
GH,غانا,+233,غانا
GI,جبل طارق,+350,جبل طارق
GL,جرينلاند,+299,جرينلاند
GM,غامبيا,+220,غامبيا
GN,غينيا,+224,غينيا
GP,جوادلوب,+590,جوادلوب
GQ,غينيا الاستوائية,+240,غينيا الاستواءيه
GR,اليونان,+30,اليونان
GS,جورجيا الجنوبية وجزر ساندويتش الجنوبية,+500,جورجيا الجنوبيه وجزر ساندويتش الجنوبيه
GT,جواتيمالا,+502,جواتيمالا
GU,جوام,+1,جوام
GW,غينيا بيساو,+245,غينيا بيساو
GY,غيانا,+595,غيانا
HK,هونج كونج الصينية,+852,هونج كونج الصينيه
HK,هونج كونج,+852,هونج كونج
HM,جزيرة هيرد وماكدونالد,,جزيره هيرد وماكدونالد
HN,هندوراس,+504,هندوراس
HR,كرواتيا,+385,كرواتيا
HT,هايتي,+509,هايتي
HU,المجر,+36,المجر
HU,مجر,+36,مجر
ID,اندونيسيا,+62,اندونيسيا
IE,أيرلندا,+353,ايرلندا
IL,اسرائيل,+972,اسراءيل
IM,جزيرة مان,+44,جزيره مان
IN,الهند,+91,الهند
IO,المحيط الهندي البريطاني,+246,المحيط الهندي البريطاني
IQ,العراق,+964,العراق
IR,ايران,+98,ايران
IS,أيسلندا,+354,ايسلندا
IT,ايطاليا,+39,ايطاليا
JE,جيرسي,+44,جيرسي
JM,جامايكا,+1,جامايكا
JO,الأردن,+962,الاردن
JO,أردن,+962,اردن
JP,اليابان,+81,اليابان
JP,يابان,+81,يابان
KE,كينيا,+254,كينيا
KG,قرغيزستان,+996,قرغيزستان
KH,كمبوديا,+855,كمبوديا
KI,كيريباتي,+686,كيريباتي
KM,جزر القمر,+269,جزر القمر
KN,سانت كيتس ونيفيس,+1,سانت كيتس ونيفيس
KP,كوريا الشمالية,+850,كوريا الشماليه
KR,كوريا الجنوبية,+82,كوريا الجنوبيه
KW,الكويت,+965,الكويت
KW,كويت,+965,كويت
KY,جزر الكايمن,+345,جزر الكايمن
KZ,كازاخستان,+7,كازاخستان
LA,لاوس,+856,لاوس
LB,لبنان,+961,لبنان
LC,سانت لوسيا,+1,سانت لوسيا
LI,ليختنشتاين,+423,ليختنشتاين
LK,سريلانكا,+94,سريلانكا
LR,ليبيريا,+231,ليبيريا
LS,ليسوتو,+266,ليسوتو
LT,ليتوانيا,+370,ليتوانيا
LU,لوكسمبورج,+352,لوكسمبورج
LV,لاتفيا,+371,لاتفيا
LY,ليبيا,+218,ليبيا
MA,المغرب,+212,المغرب
MC,موناكو,+377,موناكو
MD,مولدافيا,+373,مولدافيا
ME,الجبل الأسود,+382,الجبل الاسود
MF,سانت مارتين,+590,سانت مارتين
MG,مدغشقر,+261,مدغشقر
MH,جزر المارشال,+692,جزر المارشال
MK,مقدونيا,+389,مقدونيا
ML,مالي,+223,مالي
MM,ميانمار,+95,ميانمار
MN,منغوليا,+976,منغوليا
MO,ماكاو الصينية,+853,ماكاو الصينيه
MP,جزر ماريانا الشمالية,+1,جزر ماريانا الشماليه
MQ,مارتينيك,+596,مارتينيك
MR,موريتانيا,+222,موريتانيا
MS,مونتسرات,+1,مونتسرات
MT,مالطا,+356,مالطا
MU,موريشيوس,+230,موريشيوس
MV,جزر الملديف,+960,جزر الملديف
MW,ملاوي,+265,ملاوي
MX,المكسيك,+52,المكسيك
MY,ماليزيا,+60,ماليزيا
MZ,موزمبيق,+258,موزمبيق
NA,ناميبيا,+264,ناميبيا
NC,كاليدونيا الجديدة,+687,كاليدونيا الجديده
NE,النيجر,+227,النيجر
NF,جزيرة نورفوك,+672,جزيره نورفوك
NG,نيجيريا,+234,نيجيريا
NI,نيكاراجوا,+505,نيكاراجوا
NL,هولندا,+31,هولندا
NO,النرويج,+47,النرويج
NP,نيبال,+977,نيبال
NR,نورو,+674,نورو
NU,نيوي,+683,نيوي
NZ,نيوزيلاندا,+64,نيوزيلاندا
OM,عمان,+968,عمان
PA,بنما,+507,بنما
PE,بيرو,+51,بيرو
PF,بولينيزيا الفرنسية,+689,بولينيزيا الفرنسيه
PG,بابوا غينيا الجديدة,+675,بابوا غينيا الجديده
PH,الفيلبين,+63,الفيلبين
PK,باكستان,+92,باكستان
PL,بولندا,+48,بولندا
PM,سانت بيير وميكولون,+508,سانت بير وميكولون
PN,بتكايرن,+872,بتكايرن
PR,بورتوريكو,+1,بورتوريكو
PS,فلسطين,+970,فلسطين
PT,البرتغال,+351,البرتغال
PT,برتغال,+351,برتغال
PW,بالاو,+680,بالاو
PY,باراجواي,+595,باراجواي
QA,قطر,+974,قطر
RE,روينيون,+262,روينيون
RO,رومانيا,+40,رومانيا
RS,صربيا,+381,صربيا
RU,روسيا,+7,روسيا
RW,رواندا,+250,رواندا
SA,المملكة العربية السعودية,+966,الملكه العربيه السعوديه
SA,السعودية,+966,السعوديه
SB,جزر سليمان,+677,جزر سليمان
SC,سيشل,+248,سيشل
SD,السودان,+249,السودان
SE,السويد,+46,السويد
SG,سنغافورة,+65,سنغافوره
SH,سانت هيلنا,+290,سانت هيلنا
SI,سلوفينيا,+386,سلوفينيا
SJ,سفالبارد وجان مايان,+47,سفالبارد وجان مايان
SK,سلوفاكيا,+421,سلوفاكيا
SL,سيراليون,+232,سيراليون
SM,سان مارينو,+378,سان مارينو
SN,السنغال,+221,السنغال
SO,الصومال,+252,الصومال
SR,سورينام,+597,سورينام
SS,جنوب السودان,+211,جنوب السودان
ST,ساو تومي وبرينسيبي,+239,ساو تومي وبرينسيبي
SV,السلفادور,+503,السلفادور
SX,سينت مارتن,+1,سينت مارتن
SY,سوريا,+963,سوريا
SZ,سوازيلاند,+268,سوازيلاند
TC,جزر الترك وجايكوس,+1,جزر الترك وجايكوس
TD,تشاد,+235,تشاد
TF,المقاطعات الجنوبية الفرنسية,+262,المقاطعات الجنوبيه الفرنسيه
TG,توجو,+228,توجو
TH,تايلند,+66,تايلند
TJ,طاجكستان,+992,طاجكستان
TK,توكيلو,+690,توكيلو
TL,تيمور الشرقية,+670,تيمور الشرقيه
TM,تركمانستان,+993,تركمانستان
TN,تونس,+216,تونس
TO,تونجا,+676,تونجا
TR,تركيا,+90,تركيا
TT,ترينيداد وتوباغو,+1,ترينيداد وتوباغو
TV,توفالو,+688,توفالو
TW,تايوان,+886,تايوان
TZ,تانزانيا,+255,تانزانيا
UA,أوكرانيا,+380,اوكرانيا
UG,أوغندا,+256,اوغندا
UM,جزر الولايات المتحدة البعيدة الصغيرة,,جزر الولايات المتحده البعيده الصغيره
US,الولايات المتحدة الأمريكية,+1,الولايات المتحده الامريكيه
US,أمريكا,+1,امريكا
UY,أورجواي,+598,اورجواي
UZ,أوزبكستان,+998,اوزبكستان
VA,الفاتيكان,+379,الفاتيكان
VC,سانت فنسنت وغرنادين,+1,سانت فنسنت وغرنادين
VE,فنزويلا,+58,فنزويلا
VG,جزر فرجين البريطانية,+1,جزر فرجين البريطانيه
VI,جزر فرجين الأمريكية,+1,جزر فرجين الامريكيه
VN,فيتنام,+84,فيتنام
VU,فانواتو,+678,فانواتو
WF,جزر والس وفوتونا,+681,جزر والس وفوتونا
WS,ساموا,+685,ساموا
XK,كوسوفو,+383,كوسوفو
YE,اليمن,+967,اليمن
YT,مايوت,+262,مايوت
ZA,جمهورية جنوب افريقيا,+27,جمهوريه جنوب افريقيا
ZM,زامبيا,+260,زامبيا
ZW,زيمبابوي,+263,زيمبابوي
